ticket_id,created_at,channel,category,subcategory,priority,customer_message,assigned_team,agent_id,first_response_min,resolution_min,resolution_status,csat_score,contacts_per_ticket,cost_usd,market
TKT-104350,2026-02-09 01:39:39,email,merchant_issue,redemption_problem,high,Merchant added extra charges not mentioned in the deal.,ai_chatbot,,0.6,22.4,escalated,2,5,0.16,US
TKT-109326,2026-02-09 01:42:06,chat,account,delete_account,medium,someone hacked my account and made purchases.,ai_chatbot,,3.4,4.4,resolved,3,1,0.11,FR
TKT-109085,2026-02-09 01:44:04,chat,order_status,wrong_item,medium,"I received the wrong item, this isn't what I ordered.",bpo_vendorA,VA-012,3.8,36.7,resolved,4,4,2.34,UK
TKT-106361,2026-02-09 01:45:44,chat,account,email_change,high,I have two accounts and need to merge them.,ai_chatbot,,0.5,2.0,resolved,3,1,0.13,AU
TKT-106419,2026-02-09 01:48:54,social,voucher_problem,voucher_transfer,medium,The voucher code isn't working when I try to redeem it.,in_house,IH-010,33.2,34.2,resolved,5,5,5.73,DE
TKT-100581,2026-02-09 01:52:03,chat,order_status,order_not_received,medium,Package shows delivered to wrong address.,in_house,IH-011,2.2,3.6,resolved,5,1,0.0,UK
TKT-107952,2026-02-09 01:54:41,email,merchant_issue,merchant_closed,urgent,The merchant's phone number on the deal is disconnected.,bpo_vendorA,VA-003,38.7,86.8,resolved,4,4,3.74,UK
TKT-103187,2026-02-09 02:02:29,chat,billing,promo_code_issue,low,I keep getting charged monthly but I cancelled my subscription.,ai_chatbot,,1.2,4.8,escalated,,6,0.1,AU
TKT-101291,2026-02-09 02:05:32,chat,order_status,wrong_item,high,Tracking shows delivered but I never got it. this is ridiculous,ai_chatbot,,0.3,3.5,resolved,4,5,0.11,DE
TKT-109537,2026-02-09 02:08:14,chat,other,,medium,How do Groupon deals work exactly?,ai_chatbot,,0.4,1.4,escalated,3,5,0.13,UK
TKT-107281,2026-02-09 02:10:39,chat,merchant_issue,merchant_no_show,medium,the merchant's phone number on the deal is disconnected.,ai_chatbot,,0.6,8.5,escalated,1,5,0.16,IT
TKT-102002,2026-02-09 02:13:29,social,order_status,delivery_delayed,high,Status says 'shipped' but carrier has no record of it. ??,in_house,IH-005,29.5,40.2,resolved,,2,4.49,US
TKT-109464,2026-02-09 02:19:33,email,refund,,low,I bought a voucher last week and it doesn't work. I want my money back. please help,bpo_vendorA,VA-020,214.1,215.1,escalated,2,6,5.36,UK
TKT-100169,2026-02-09 02:22:26,phone,refund,refund_policy_question,high,"I want to return this product, how do I get refunded?",bpo_vendorA,VA-001,7.7,33.3,resolved,,4,4.89,UK
TKT-104758,2026-02-09 02:27:24,email,order_status,order_not_received,medium,My order status has been 'processing' for a week now.,in_house,IH-004,56.1,65.5,escalated,4,4,4.78,UK
TKT-105752,2026-02-09 02:29:55,email,billing,payment_failed,low,getting charged for groupon+ but never signed up for it.,in_house,IH-013,584.0,585.0,escalated,2,8,13.8,US
TKT-103939,2026-02-09 02:34:37,social,billing,double_charge,high,I see an unauthorized charge on my credit card from Groupon.,in_house,IH-023,28.6,63.9,resolved,5,4,5.4,ES
TKT-109139,2026-02-09 02:35:31,email,voucher_problem,,medium,Can I transfer my voucher to someone else?,ai_chatbot,,0.5,,pending,,4,0.11,DE
TKT-107315,2026-02-09 02:44:11,email,billing,,high,I see an unauthorized charge on my credit card from Groupon.,in_house,IH-034,27.9,61.7,escalated,,8,4.16,US
TKT-100175,2026-02-09 02:45:42,social,billing,,high,I keep getting charged monthly but I cancelled my subscription.,bpo_vendorA,VA-003,34.7,57.6,resolved,4,5,3.03,DE
TKT-102665,2026-02-09 02:45:59,email,other,,high,Do you have any deals for [city]?,in_house,IH-034,36.6,37.6,resolved,4,2,5.53,US
TKT-103463,2026-02-09 02:47:25,chat,merchant_issue,redemption_problem,low,Merchant location was permanently closed when I arrived.,bpo_vendorB,VB-039,17.0,35.7,resolved,3,6,2.35,FR
TKT-100712,2026-02-09 02:53:56,chat,order_status,delivery_delayed,medium,Can you confirm my order went through? I didn't get a confirmation email.,bpo_vendorB,VB-007,11.4,47.3,resolved,4,4,1.85,ES
TKT-105160,2026-02-09 02:56:49,chat,order_status,order_not_received,medium,Package shows delivered to wrong address.,in_house,IH-007,2.0,24.2,resolved,5,1,3.23,IT
TKT-101160,2026-02-09 02:59:05,email,voucher_problem,,low,"My voucher expired before I could use it, can you extend it?",in_house,IH-028,63.3,64.3,resolved,4,4,6.31,FR
TKT-104887,2026-02-09 03:07:11,email,voucher_problem,voucher_not_working,medium,My voucher won't load on the mobile app.,bpo_vendorA,VA-044,134.5,192.1,escalated,,6,5.0,ES
TKT-100422,2026-02-09 03:11:04,email,voucher_problem,wrong_voucher,urgent,I have a voucher for a deal that's no longer available.,ai_chatbot,,0.6,29.0,escalated,3,6,0.0,DE
TKT-107981,2026-02-09 03:18:13,phone,refund,partial_refund,high,"Double charged on my last purchase, need one refund.",in_house,IH-032,4.9,10.2,resolved,0,5,6.04,FR
TKT-106636,2026-02-09 03:18:27,chat,account,delete_account,medium,My account got locked after too many login attempts.,bpo_vendorA,VA-037,4.1,21.1,resolved,,3,2.45,DE
TKT-105142,2026-02-09 03:18:56,phone,other,partnership,high,Do you have any deals for [city]?,in_house,IH-001,3.4,19.4,resolved,4,2,6.72,US
TKT-100760,2026-02-09 03:20:39,email,merchant_issue,redemption_problem,low,The merchant is asking for additional payment beyond the Groupon price.,in_house,IH-004,53.2,98.6,resolved,3,3,6.98,FR
TKT-105847,2026-02-09 03:28:16,email,refund,,medium,I never received my order and want a full refund please.,ai_chatbot,,2.5,8.0,escalated,,4,0.19,AU
TKT-107603,2026-02-09 03:29:52,email,other,feedback,medium,"I'm having trouble with the website, pages won't load.",ai_chatbot,,3.6,,pending,3,3,0.15,UK
TKT-102864,2026-02-09 03:35:13,email,refund,refund_not_received,medium,Requesting refund - merchant refused to honor the deal.,bpo_vendorB,VB-010,110.6,203.3,resolved,2,5,4.28,US
TKT-107352,2026-02-09 03:46:28,email,account,delete_account,low,Can't log in with my social media account anymore.,ai_chatbot,,2.2,12.0,resolved,4,2,0.14,AU
TKT-107781,2026-02-09 03:47:24,chat,order_status,order_not_received,low,Where is my order? It's been 5 days and no update.,ai_chatbot,,0.4,2.8,escalated,4,6,0.13,DE
TKT-107405,2026-02-09 03:49:48,social,other,feedback,urgent,What's your return policy?,bpo_vendorA,VA-040,23.9,,pending,5,3,3.17,US
TKT-102121,2026-02-09 03:50:09,chat,order_status,order_not_received,medium,Where is my order? It's been 5 days and no update.,in_house,IH-032,3.1,14.2,resolved,,4,4.69,UK
TKT-102853,2026-02-09 03:52:02,social,order_status,tracking_issue,low,Can you confirm my order went through? I didn't get a confirmation email.,in_house,IH-029,22.5,30.8,resolved,4,2,4.72,ES
TKT-101170,2026-02-09 03:58:05,email,other,general_inquiry,medium,I have a suggestion for improving the app.,in_house,IH-034,73.8,187.9,resolved,3,5,8.05,IT
TKT-100720,2026-02-09 03:59:24,social,merchant_issue,merchant_no_show,medium,merchant says they never agreed to this deal on groupon.,ai_chatbot,,13.4,52.6,resolved,4,4,0.17,US
TKT-102722,2026-02-09 04:01:43,email,refund,full_refund,medium,"The experience was terrible, nothing like advertised. Refund please!",ai_chatbot,,1.6,8.8,resolved,,2,0.19,US
TKT-107766,2026-02-09 04:05:45,chat,other,general_inquiry,low,what's your return policy? this is ridiculous,ai_chatbot,,11.7,14.9,resolved,,2,0.13,ES
TKT-101551,2026-02-09 04:12:47,phone,voucher_problem,wrong_voucher,medium,I have a voucher for a deal that's no longer available. URGENT!!!,bpo_vendorB,VB-016,19.1,22.3,resolved,3,4,2.45,DE
TKT-107696,2026-02-09 04:15:43,social,billing,payment_failed,urgent,I cancelled within the window but was still charged.,ai_chatbot,,1.2,21.0,resolved,4,6,0.17,US
TKT-100072,2026-02-09 04:17:23,email,billing,double_charge,high,My bank flagged a Groupon charge as suspicious.,in_house,IH-033,176.4,207.4,resolved,,7,8.63,DE
TKT-100274,2026-02-09 04:18:51,email,merchant_issue,merchant_no_show,low,The merchant's phone number on the deal is disconnected.,bpo_vendorB,VB-034,223.9,,pending,3,7,1.62,UK
TKT-100134,2026-02-09 04:26:01,social,merchant_issue,service_quality,low,The service quality was far below what was advertised.,bpo_vendorB,VB-014,33.1,69.0,resolved,,6,2.55,US
TKT-104590,2026-02-09 04:35:40,chat,billing,double_charge,urgent,I cancelled within the window but was still charged.,bpo_vendorB,VB-001,3.7,89.5,resolved,,7,2.67,UK
TKT-102877,2026-02-09 04:43:54,chat,account,,high,I forgot which email I used to create my account.,bpo_vendorB,VB-021,8.0,16.9,escalated,4,4,2.32,AU
TKT-105623,2026-02-09 04:46:45,social,other,general_inquiry,medium,Can you recommend a good restaurant deal in my area?,bpo_vendorA,VA-017,42.2,95.3,resolved,,5,2.41,DE
TKT-107759,2026-02-09 04:48:30,chat,refund,refund_policy_question,medium,"I want to return this product, how do I get refunded?",ai_chatbot,,0.3,58.9,resolved,3,3,0.15,IT
TKT-109933,2026-02-09 04:49:50,email,order_status,tracking_issue,high,status says 'shipped' but carrier has no record of it.,bpo_vendorB,VB-040,35.8,,abandoned,2,6,2.0,US
TKT-103812,2026-02-09 04:51:51,email,merchant_issue,redemption_problem,high,The merchant was rude and refused to accept my Groupon.,bpo_vendorA,VA-021,49.7,151.1,escalated,4,8,2.97,US
TKT-102581,2026-02-09 04:54:33,chat,account,password_reset,medium,Need to update my phone number on the account.,in_house,IH-001,3.0,50.5,resolved,,5,5.3,DE
TKT-107800,2026-02-09 04:55:33,chat,other,general_inquiry,low,Is Groupon still operating? I heard rumors you were shutting down this is ridiculous,ai_chatbot,,1.0,6.9,resolved,3,1,0.11,US
TKT-100483,2026-02-09 04:59:53,email,merchant_issue,service_quality,high,Merchant location was permanently closed when I arrived.,bpo_vendorB,VB-036,108.4,176.5,escalated,3,10,4.27,DE
TKT-103598,2026-02-09 05:01:23,phone,refund,partial_refund,medium,I've been waiting 2 weeks for my refund and still nothing.,in_house,IH-025,4.0,35.1,resolved,,3,5.62,ES
TKT-109453,2026-02-09 05:10:51,chat,account,email_change,medium,"I can't reset my password, the email never arrives.",in_house,IH-023,4.5,,abandoned,2,2,0.0,IT
TKT-107018,2026-02-09 05:11:21,chat,order_status,tracking_issue,medium,Status says 'shipped' but carrier has no record of it.,ai_chatbot,,0.3,1.6,resolved,4,2,0.13,FR
TKT-107600,2026-02-09 05:23:20,email,voucher_problem,voucher_not_working,low,I have a voucher for a deal that's no longer available.,ai_chatbot,,1.0,9.7,resolved,3,1,0.19,US
TKT-102184,2026-02-09 05:23:52,chat,voucher_problem,voucher_expired,urgent,I need to change the date on my voucher booking.,ai_chatbot,,0.1,4.1,resolved,4,3,0.1,US
TKT-108000,2026-02-09 05:31:45,phone,merchant_issue,service_quality,low,Merchant provided a completely different service than described.,bpo_vendorA,VA-042,41.7,12.5,resolved,,6,4.74,DE
TKT-105180,2026-02-09 05:35:41,email,order_status,,low,My order status has been 'processing' for a week now.,bpo_vendorA,VA-048,97.5,464.7,escalated,,6,7.5,AU
TKT-105314,2026-02-09 05:38:41,email,refund,refund_policy_question,low,"The experience was terrible, nothing like advertised. Refund please!",bpo_vendorA,VA-011,79.4,81.4,resolved,,4,2.44,DE
TKT-103219,2026-02-09 05:43:38,email,other,,medium,"I'm having trouble with the website, pages won't load.",ai_chatbot,,0.7,1.9,resolved,3,3,0.17,US
TKT-101762,2026-02-09 05:51:26,phone,billing,,low,I was charged the wrong amount for my purchase.,in_house,IH-031,29.8,,pending,,6,4.89,FR
TKT-104321,2026-02-09 05:51:31,chat,refund,refund_policy_question,low,"Double charged on my last purchase, need one refund.",in_house,IH-017,4.1,,abandoned,3,4,3.94,UK
TKT-108900,2026-02-09 05:57:27,phone,merchant_issue,,high,Merchant location was permanently closed when I arrived.,bpo_vendorB,VB-040,10.2,29.3,resolved,3,8,3.71,US
TKT-108296,2026-02-09 06:01:57,email,voucher_problem,,medium,The voucher shows as redeemed but I never used it.,in_house,IH-010,157.6,196.3,resolved,3,4,6.42,US
TKT-108998,2026-02-09 06:02:26,email,other,,low,I have a suggestion for improving the app.,bpo_vendorB,VB-012,197.6,,abandoned,2,5,2.58,US
TKT-103561,2026-02-09 06:04:42,social,refund,partial_refund,urgent,I never received my order and want a full refund please.,in_house,IH-006,11.0,24.7,resolved,3,3,5.01,US
TKT-109319,2026-02-09 06:07:58,phone,other,partnership,high,I have a suggestion for improving the app.,in_house,IH-009,3.7,18.9,resolved,4,1,6.95,ES
TKT-109950,2026-02-09 06:15:31,email,refund,refund_policy_question,low,I never received my order and want a full refund please.,ai_chatbot,,1.7,3.3,resolved,3,2,0.14,AU
TKT-101994,2026-02-09 06:17:07,email,voucher_problem,voucher_not_working,high,Voucher says valid until next month but merchant won't accept it.,ai_chatbot,,2.8,6.6,resolved,3,1,0.16,US
TKT-108589,2026-02-09 06:24:02,email,voucher_problem,voucher_not_working,medium,I have a voucher for a deal that's no longer available.,in_house,IH-013,50.5,51.5,resolved,,2,6.63,US
TKT-103942,2026-02-09 06:24:52,social,order_status,wrong_item,medium,Package shows delivered to wrong address. ...,bpo_vendorB,VB-033,135.6,174.9,escalated,,9,2.64,ES
TKT-109578,2026-02-09 06:25:37,phone,other,feedback,low,What's your return policy?,bpo_vendorA,VA-048,13.3,,pending,3,6,3.01,UK
TKT-107799,2026-02-09 06:27:01,chat,refund,,low,Can I get a partial refund? The service was only half of what was promised.,bpo_vendorA,VA-045,10.7,102.8,resolved,,5,3.49,DE
TKT-100391,2026-02-09 06:27:10,chat,voucher_problem,voucher_transfer,high,"My voucher expired before I could use it, can you extend it?",in_house,IH-030,1.6,0.5,resolved,3,4,2.85,FR
TKT-103906,2026-02-09 06:31:00,chat,other,,low,"I'm a journalist writing about daily deals, can I speak with PR?",ai_chatbot,,0.5,2.0,escalated,3,4,0.11,US
TKT-104108,2026-02-09 06:31:52,phone,voucher_problem,voucher_expired,low,The voucher shows as redeemed but I never used it.,bpo_vendorA,VA-022,38.7,81.1,resolved,,4,3.56,US
TKT-100577,2026-02-09 06:32:26,email,other,feedback,low,Is Groupon still operating? I heard rumors you were shutting down.,bpo_vendorA,VA-045,109.6,-37.2,escalated,4,5,3.17,IT
TKT-103607,2026-02-09 06:34:15,phone,order_status,tracking_issue,medium,Tracking shows delivered but I never got it.,bpo_vendorA,VA-001,16.5,,pending,2,4,3.39,ES
TKT-103645,2026-02-09 06:45:22,email,account,email_change,low,I have two accounts and need to merge them.,bpo_vendorB,VB-010,115.2,116.2,resolved,,4,3.7,UK
TKT-101178,2026-02-09 06:50:05,email,billing,,low,"I was charged twice for the same deal, please fix this.",in_house,IH-018,24.7,32.0,resolved,5,3,5.9,FR
TKT-102569,2026-02-09 07:04:40,email,other,,high,I have a suggestion for improving the app. ??,in_house,IH-014,94.3,95.3,resolved,4,3,4.71,US
TKT-105860,2026-02-09 07:04:51,phone,refund,full_refund,medium,"I want to return this product, how do I get refunded?",in_house,IH-016,8.2,18.8,resolved,3,3,8.53,US
TKT-103010,2026-02-09 07:10:56,chat,refund,refund_policy_question,high,I never received my order and want a full refund please.,in_house,IH-012,4.1,13.4,resolved,5,4,4.8,US
TKT-104409,2026-02-09 07:11:13,phone,order_status,tracking_issue,low,package shows delivered to wrong address.,in_house,IH-008,9.3,65.3,escalated,4,6,0.0,US
TKT-100936,2026-02-09 07:12:50,chat,refund,refund_not_received,low,"I need a refund for my purchase, the deal was not what was described.",ai_chatbot,,1.1,4.6,resolved,3,1,0.15,US
TKT-100681,2026-02-09 07:14:39,email,billing,subscription_cancel,low,I see an unauthorized charge on my credit card from Groupon.,ai_chatbot,,2.1,11.4,resolved,5,3,0.16,US
TKT-108011,2026-02-09 07:15:25,email,merchant_issue,service_quality,medium,Merchant location was permanently closed when I arrived.,bpo_vendorB,VB-033,152.8,353.6,escalated,,8,5.49,UK
TKT-109413,2026-02-09 07:21:02,chat,merchant_issue,service_quality,high,Merchant provided a completely different service than described.,ai_chatbot,,0.7,,pending,,2,0.1,DE
TKT-108658,2026-02-09 07:32:47,chat,billing,promo_code_issue,low,"I was charged twice for the same deal, please fix this.",bpo_vendorA,VA-011,13.6,,pending,4,5,2.61,AU
TKT-106422,2026-02-09 07:38:59,chat,account,delete_account,urgent,i forgot which email i used to create my account.,in_house,IH-002,1.0,29.9,escalated,3,6,2.97,FR
TKT-100881,2026-02-09 07:40:22,email,merchant_issue,redemption_problem,urgent,The merchant was rude and refused to accept my Groupon,bpo_vendorA,VA-031,29.5,30.5,escalated,,8,2.31,FR
TKT-102846,2026-02-09 07:40:22,email,billing,,urgent,My payment failed but the money was taken from my account.,ai_chatbot,,0.5,5.6,resolved,,4,0.2,AU
TKT-102420,2026-02-09 08:04:51,chat,order_status,,low,Tracking shows delivered but I never got it.,ai_chatbot,,0.8,,pending,,3,0.12,DE
TKT-108300,2026-02-09 08:09:19,email,merchant_issue,,medium,Merchant location was permanently closed when I arrived. this is ridiculous,bpo_vendorA,VA-003,162.4,,abandoned,1,5,2.3,US
TKT-105968,2026-02-09 08:17:42,chat,voucher_problem,,medium,My voucher won't load on the mobile app.,ai_chatbot,,0.2,3.5,resolved,3,2,0.09,UK
TKT-103591,2026-02-09 08:19:40,chat,other,,high,I have a suggestion for improving the app,bpo_vendorB,VB-002,3.4,17.5,resolved,4,4,1.96,US
TKT-108327,2026-02-09 08:22:35,email,order_status,tracking_issue,urgent,Package shows delivered to wrong address.,ai_chatbot,,0.3,5.3,resolved,3,3,0.18,UK
TKT-108868,2026-02-09 08:24:59,chat,account,delete_account,low,Someone hacked my account and made purchases.,ai_chatbot,,1.4,5.1,escalated,,3,0.11,FR
TKT-108805,2026-02-09 08:26:56,social,voucher_problem,,urgent,The fine print says something different than the deal page.,ai_chatbot,,1.2,4.3,escalated,3,3,0.17,DE
TKT-105615,2026-02-09 08:28:12,phone,order_status,delivery_delayed,high,Package shows delivered to wrong address.,in_house,IH-006,3.3,9.0,escalated,3,5,8.19,ES
TKT-100902,2026-02-09 08:34:00,email,refund,refund_not_received,low,I never received my order and want a full refund please.,bpo_vendorB,VB-015,245.1,338.2,escalated,2,6,5.25,US
TKT-100802,2026-02-09 08:38:39,social,refund,full_refund,medium,"I want to return this product, how do I get refunded?",bpo_vendorA,VA-039,88.1,,pending,,3,2.74,ES
TKT-103193,2026-02-09 08:40:48,chat,voucher_problem,voucher_not_working,low,i need to change the date on my voucher booking.,ai_chatbot,,1.4,14.2,escalated,3,3,0.13,FR
TKT-109142,2026-02-09 08:45:46,email,billing,payment_failed,low,Getting charged for Groupon+ but never signed up for it.,bpo_vendorB,VB-037,91.1,,pending,,6,2.84,US
TKT-105663,2026-02-09 08:45:47,email,billing,double_charge,medium,My payment failed but the money was taken from my account.,in_house,IH-018,73.1,230.4,resolved,4,5,6.78,AU
TKT-102441,2026-02-09 08:46:44,chat,merchant_issue,redemption_problem,urgent,The service quality was far below what was advertised.,bpo_vendorA,VA-033,2.4,39.5,resolved,,5,2.02,AU
TKT-102679,2026-02-09 08:47:25,phone,billing,payment_failed,low,I keep getting charged monthly but I cancelled my subscription.,in_house,IH-031,11.7,47.6,resolved,,6,5.56,DE
TKT-108653,2026-02-09 08:49:26,social,billing,payment_failed,medium,I was charged the wrong amount for my purchase.,in_house,IH-015,26.2,123.5,escalated,,6,4.22,US
TKT-105415,2026-02-09 08:52:06,phone,account,,high,My account shows purchases I didn't make.,bpo_vendorA,VA-007,7.9,59.3,resolved,4,5,5.31,GER
TKT-103507,2026-02-09 08:53:58,email,order_status,wrong_item,low,Order is stuck in transit for over 10 days.,bpo_vendorB,VB-028,136.9,504.1,resolved,,4,5.18,FR
TKT-107116,2026-02-09 08:54:56,chat,voucher_problem,voucher_expired,medium,The fine print says something different than the deal page,bpo_vendorB,VB-019,10.4,3.1,resolved,4,5,2.06,US
TKT-105067,2026-02-09 08:56:40,email,billing,,low,Getting charged for Groupon+ but never signed up for it.,ai_chatbot,,1.2,10.6,resolved,,3,0.17,US
TKT-104098,2026-02-09 08:56:56,chat,order_status,wrong_item,high,Can you confirm my order went through? I didn't get a confirmation email.,bpo_vendorB,VB-027,5.2,6.2,resolved,3,3,1.62,IT
TKT-105645,2026-02-09 09:03:34,phone,account,delete_account,high,"I can't reset my password, the email never arrives.",bpo_vendorA,VA-039,21.4,,abandoned,1,5,4.31,ES
TKT-108622,2026-02-09 09:08:55,social,order_status,order_not_received,low,Where is my order? It's been 5 days and no update.,ai_chatbot,,2.2,3.2,escalated,2,4,0.1,US
TKT-103383,2026-02-09 09:12:01,social,order_status,delivery_delayed,urgent,Tracking shows delivered but I never got it.,ai_chatbot,,1.3,2.3,resolved,2,1,0.15,ES
TKT-107995,2026-02-09 09:12:42,chat,refund,refund_policy_question,medium,The experience was terrible nothing like advertised Refund please!,ai_chatbot,,0.6,31.8,resolved,4,1,0.12,UK
TKT-105820,2026-02-09 09:17:44,email,merchant_issue,merchant_no_show,low,The service quality was far below what was advertised.,ai_chatbot,,2.7,,abandoned,1,3,0.15,AU
TKT-102505,2026-02-09 09:23:43,chat,billing,double_charge,urgent,The promo code I used didn't apply the discount.,bpo_vendorA,VA-003,1.7,13.3,resolved,4,6,2.92,US
TKT-100210,2026-02-09 09:23:50,email,refund,refund_not_received,low,I bought a voucher last week and it doesn't work. I want my money back.,ai_chatbot,,1.8,6.1,resolved,3,1,0.15,UK
TKT-104561,2026-02-09 09:29:47,chat,merchant_issue,redemption_problem,medium,Merchant provided a completely different service than described. ??,ai_chatbot,,0.3,7.1,resolved,3,5,0.11,UK
TKT-108186,2026-02-09 09:34:33,chat,order_status,,high,I need to change the delivery address for my order.,bpo_vendorB,VB-016,5.3,25.5,escalated,3,7,1.41,US
TKT-101507,2026-02-09 09:34:52,email,refund,full_refund,low,I bought a voucher last week and it doesn't work I want my money back this is ridiculous,ai_chatbot,,1.0,,abandoned,,3,0.13,DE
TKT-109895,2026-02-09 09:37:17,chat,voucher_problem,,medium,I received the wrong voucher for my purchase.,ai_chatbot,,0.7,,pending,,4,0.1,ES
TKT-108630,2026-02-09 09:44:46,chat,voucher_problem,,medium,my voucher won't load on the mobile app.,bpo_vendorB,VB-030,4.6,32.3,resolved,3,5,2.15,UK
TKT-100917,2026-02-09 09:57:15,email,other,,low,"I'm a journalist writing about daily deals, can I speak with PR?",bpo_vendorA,VA-026,112.9,,abandoned,3,5,2.01,UK
TKT-108385,2026-02-09 09:59:51,email,other,partnership,low,How do Groupon deals work exactly? ??,bpo_vendorB,VB-015,213.0,237.8,resolved,3,6,4.52,UK
TKT-100671,2026-02-09 10:01:44,phone,merchant_issue,merchant_closed,medium,The merchant was rude and refused to accept my Groupon.,bpo_vendorB,VB-003,20.1,87.7,resolved,3,6,3.78,US
